Neighborhood  District,Year,Fire Incidents,Other Incidents
Portola,2016,22,283
Portola,2017,8,110
Portola,2003,39,164
Portola,2006,19,122
Portola,2007,29,177
Portola,2004,39,165
Portola,2005,31,117
Portola,2015,35,245
Portola,2014,30,186
Portola,2008,34,205
Portola,2009,29,182
Portola,2011,23,215
Portola,2010,18,192
Portola,2013,31,189
Portola,2012,25,184
Japantown,2016,19,203
Japantown,2017,7,64
Japantown,2003,15,173
Japantown,2006,16,166
Japantown,2007,27,124
Japantown,2004,20,167
Japantown,2005,13,158
Japantown,2015,23,184
Japantown,2014,21,177
Japantown,2008,17,139
Japantown,2009,28,135
Japantown,2011,23,129
Japantown,2010,20,165
Japantown,2013,14,139
Japantown,2012,20,128
Glen Park,2016,27,190
Glen Park,2017,3,59
Glen Park,2003,17,91
Glen Park,2006,8,111
Glen Park,2007,19,115
Glen Park,2004,10,76
Glen Park,2005,17,99
Glen Park,2015,15,167
Glen Park,2014,16,126
Glen Park,2008,13,105
Glen Park,2009,15,112
Glen Park,2011,24,99
Glen Park,2010,18,118
Glen Park,2013,9,133
Glen Park,2012,19,130
Western Addition,2016,170,1082
Western Addition,2017,38,292
Western Addition,2003,228,1186
Western Addition,2006,127,780
Western Addition,2007,171,811
Western Addition,2004,212,1143
Western Addition,2005,137,1057
Western Addition,2015,132,1055
Western Addition,2014,136,918
Western Addition,2008,176,845
Western Addition,2009,242,880
Western Addition,2011,175,923
Western Addition,2010,196,862
Western Addition,2013,151,937
Western Addition,2012,140,914
Outer Richmond,2016,81,717
Outer Richmond,2017,16,248
Outer Richmond,2003,47,337
Outer Richmond,2006,49,268
Outer Richmond,2007,44,264
Outer Richmond,2004,52,272
Outer Richmond,2005,37,295
Outer Richmond,2015,90,707
Outer Richmond,2014,68,515
Outer Richmond,2008,50,340
Outer Richmond,2009,34,356
Outer Richmond,2011,55,443
Outer Richmond,2010,33,308
Outer Richmond,2013,51,366
Outer Richmond,2012,39,366
Inner Sunset,2016,53,482
Inner Sunset,2017,25,172
Inner Sunset,2003,30,273
Inner Sunset,2006,29,258
Inner Sunset,2007,30,260
Inner Sunset,2004,40,273
Inner Sunset,2005,40,263
Inner Sunset,2015,63,483
Inner Sunset,2014,56,412
Inner Sunset,2008,31,276
Inner Sunset,2009,41,319
Inner Sunset,2011,38,325
Inner Sunset,2010,45,321
Inner Sunset,2013,48,352
Inner Sunset,2012,35,326
Financial District/South Beach,2016,220,2443
Financial District/South Beach,2017,72,701
Financial District/South Beach,2003,218,2520
Financial District/South Beach,2006,212,1871
Financial District/South Beach,2007,234,2073
Financial District/South Beach,2004,182,1909
Financial District/South Beach,2005,217,1886
Financial District/South Beach,2015,237,2343
Financial District/South Beach,2014,200,2189
Financial District/South Beach,2008,202,1898
Financial District/South Beach,2009,209,1959
Financial District/South Beach,2011,208,2076
Financial District/South Beach,2010,213,2129
Financial District/South Beach,2013,218,2224
Financial District/South Beach,2012,214,2397
Oceanview/Merced/Ingleside,2016,42,428
Oceanview/Merced/Ingleside,2017,14,103
Oceanview/Merced/Ingleside,2003,39,372
Oceanview/Merced/Ingleside,2006,36,242
Oceanview/Merced/Ingleside,2007,30,231
Oceanview/Merced/Ingleside,2004,42,344
Oceanview/Merced/Ingleside,2005,32,216
Oceanview/Merced/Ingleside,2015,43,371
Oceanview/Merced/Ingleside,2014,34,302
Oceanview/Merced/Ingleside,2008,29,228
Oceanview/Merced/Ingleside,2009,30,257
Oceanview/Merced/Ingleside,2011,30,288
Oceanview/Merced/Ingleside,2010,27,236
Oceanview/Merced/Ingleside,2013,29,256
Oceanview/Merced/Ingleside,2012,33,256
Presidio Heights,2016,15,258
Presidio Heights,2017,4,114
Presidio Heights,2003,36,267
Presidio Heights,2006,23,181
Presidio Heights,2007,38,234
Presidio Heights,2004,22,234
Presidio Heights,2005,21,222
Presidio Heights,2015,17,305
Presidio Heights,2014,21,237
Presidio Heights,2008,32,197
Presidio Heights,2009,25,174
Presidio Heights,2011,25,207
Presidio Heights,2010,29,197
Presidio Heights,2013,26,180
Presidio Heights,2012,10,191
Bernal Heights,2016,96,478
Bernal Heights,2017,25,165
Bernal Heights,2003,84,515
Bernal Heights,2006,75,398
Bernal Heights,2007,55,401
Bernal Heights,2004,72,465
Bernal Heights,2005,79,384
Bernal Heights,2015,70,522
Bernal Heights,2014,43,366
Bernal Heights,2008,45,399
Bernal Heights,2009,43,377
Bernal Heights,2011,53,340
Bernal Heights,2010,49,390
Bernal Heights,2013,39,300
Bernal Heights,2012,47,376
Golden Gate Park,2016,73,239
Golden Gate Park,2017,6,77
Golden Gate Park,2003,39,164
Golden Gate Park,2006,43,121
Golden Gate Park,2007,48,177
Golden Gate Park,2004,35,148
Golden Gate Park,2005,49,136
Golden Gate Park,2015,91,275
Golden Gate Park,2014,46,209
Golden Gate Park,2008,33,201
Golden Gate Park,2009,35,225
Golden Gate Park,2011,28,206
Golden Gate Park,2010,33,253
Golden Gate Park,2013,42,178
Golden Gate Park,2012,35,218
South of Market,2016,206,2192
South of Market,2017,70,638
South of Market,2003,243,1744
South of Market,2006,266,1583
South of Market,2007,241,1885
South of Market,2004,192,1345
South of Market,2005,217,1300
South of Market,2015,219,2166
South of Market,2014,174,1909
South of Market,2008,208,1837
South of Market,2009,215,2226
South of Market,2011,211,2166
South of Market,2010,219,2260
South of Market,2013,226,1991
South of Market,2012,232,2345
Inner Richmond,2016,38,369
Inner Richmond,2017,15,130
Inner Richmond,2003,35,224
Inner Richmond,2006,35,178
Inner Richmond,2007,25,186
Inner Richmond,2004,35,221
Inner Richmond,2005,31,208
Inner Richmond,2015,51,403
Inner Richmond,2014,30,295
Inner Richmond,2008,24,186
Inner Richmond,2009,30,189
Inner Richmond,2011,25,255
Inner Richmond,2010,19,222
Inner Richmond,2013,23,209
Inner Richmond,2012,29,194
Potrero Hill,2016,108,632
Potrero Hill,2017,20,210
Potrero Hill,2003,107,490
Potrero Hill,2006,78,387
Potrero Hill,2007,73,465
Potrero Hill,2004,115,446
Potrero Hill,2005,95,454
Potrero Hill,2015,120,565
Potrero Hill,2014,55,449
Potrero Hill,2008,84,449
Potrero Hill,2009,60,428
Potrero Hill,2011,78,372
Potrero Hill,2010,72,462
Potrero Hill,2013,66,407
Potrero Hill,2012,81,443
Treasure Island,2009,5,32
Treasure Island,2017,2,45
Treasure Island,2003,5,26
Treasure Island,2006,2,25
Treasure Island,2007,7,39
Treasure Island,2004,5,22
Treasure Island,2005,9,31
Treasure Island,2015,19,135
Treasure Island,2014,16,80
Treasure Island,2008,6,38
Treasure Island,2016,21,157
Treasure Island,2011,3,25
Treasure Island,2010,3,27
Treasure Island,2013,7,42
Treasure Island,2012,6,31
Pacific Heights,2016,69,835
Pacific Heights,2017,20,274
Pacific Heights,2003,74,722
Pacific Heights,2006,58,586
Pacific Heights,2007,87,603
Pacific Heights,2004,87,766
Pacific Heights,2005,56,701
Pacific Heights,2015,91,817
Pacific Heights,2014,80,717
Pacific Heights,2008,73,558
Pacific Heights,2009,96,608
Pacific Heights,2011,72,598
Pacific Heights,2010,87,613
Pacific Heights,2013,79,561
Pacific Heights,2012,89,635
Hayes Valley,2016,79,729
Hayes Valley,2017,32,233
Hayes Valley,2003,92,647
Hayes Valley,2006,103,481
